,predictions,labels,epoch
30,0,1,0
30,0,1,0
30,0,1,0
30,0,1,0
31,0,1,0
31,0,1,0
31,0,1,0
31,0,1,0
31,0,1,0
32,0,0,0
32,0,0,0
32,0,1,0
32,0,1,0
32,0,1,0
33,0,1,0
33,0,1,0
33,0,1,0
33,0,1,0
33,0,1,0
34,0,1,0
34,0,1,0
34,0,1,0
34,0,1,0
34,0,1,0
35,0,1,0
35,0,1,0
35,0,1,0
35,0,1,0
35,0,1,0
36,0,1,0
36,0,1,0
36,0,1,0
36,0,1,0
36,0,1,0
37,0,1,0
37,0,1,0
37,0,1,0
37,0,1,0
37,0,1,0
38,0,1,0
38,0,1,0
38,0,1,0
38,0,1,0
38,0,1,0
39,0,1,0
39,0,1,0
39,0,1,0
39,0,1,0
39,0,1,0
40,0,1,0
40,0,1,0
40,0,1,0
40,0,1,0
40,0,1,0
41,0,1,0
41,0,1,0
41,0,1,0
41,0,1,0
41,0,1,0
42,0,1,0
42,0,1,0
42,0,1,0
42,0,1,0
42,0,1,0
43,0,1,0
43,0,1,0
43,0,1,0
43,0,1,0
43,0,1,0
44,0,1,0
44,0,1,0
44,0,1,0
44,0,1,0
44,0,1,0
45,0,1,0
45,0,1,0
45,0,1,0
45,0,1,0
45,0,1,0
46,0,1,0
46,0,1,0
46,0,1,0
46,0,1,0
46,0,1,0
47,0,1,0
47,0,1,0
47,0,1,0
47,0,1,0
47,0,1,0
48,0,1,0
48,0,1,0
48,0,1,0
48,0,1,0
48,0,1,0
49,0,1,0
49,0,1,0
49,0,1,0
49,0,1,0
49,0,1,0
50,0,1,0
50,0,1,0
50,0,1,0
50,0,1,0
50,0,1,0
51,0,1,0
51,0,1,0
51,0,1,0
51,0,1,0
51,0,1,0
52,0,1,0
52,0,1,0
52,0,0,0
52,0,0,0
52,0,0,0
53,0,0,0
53,0,0,0
53,0,0,0
53,0,0,0
53,0,0,0
54,0,0,0
54,0,0,0
54,0,0,0
54,0,0,0
54,0,0,0
55,0,0,0
55,0,0,0
55,0,0,0
55,0,0,0
55,0,0,0
56,0,0,0
56,0,0,0
56,0,0,0
56,0,0,0
56,0,0,0
57,0,0,0
57,0,0,0
57,0,0,0
57,0,0,0
57,0,0,0
58,0,0,0
58,0,0,0
58,0,0,0
58,0,0,0
58,0,0,0
59,0,0,0
59,0,0,0
59,0,0,0
59,0,0,0
59,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
60,0,0,0
61,0,0,0
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
1,0,0,1
2,0,0,1
2,0,0,1
2,0,0,1
2,0,0,1
2,0,0,1
3,0,0,1
3,0,0,1
3,0,0,1
3,0,0,1
3,0,0,1
4,0,0,1
4,0,0,1
4,0,0,1
4,0,0,1
4,0,0,1
5,0,0,1
5,0,0,1
5,0,0,1
5,0,0,1
5,0,0,1
6,0,0,1
6,0,0,1
6,0,0,1
6,0,0,1
6,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
7,0,1,1
8,0,1,1
8,0,1,1
8,0,0,1
8,0,0,1
8,0,0,1
9,0,0,1
9,0,0,1
9,0,0,1
9,0,0,1
9,0,0,1
10,0,0,1
10,0,0,1
10,0,0,1
10,0,0,1
10,0,0,1
11,0,0,1
11,0,0,1
11,0,0,1
11,0,0,1
11,0,0,1
12,0,0,1
12,0,0,1
12,0,0,1
12,0,0,1
12,0,0,1
13,0,0,1
13,0,1,1
13,0,1,1
13,0,1,1
13,0,1,1
14,0,1,1
14,0,1,1
14,0,1,1
14,0,1,1
14,0,1,1
15,0,1,1
15,0,1,1
15,0,1,1
15,0,1,1
15,0,1,1
16,0,1,1
16,0,1,1
16,0,1,1
16,0,1,1
16,0,1,1
17,0,1,1
17,0,1,1
17,0,1,1
17,0,1,1
17,0,1,1
18,0,1,1
18,0,1,1
18,0,1,1
18,0,1,1
18,0,1,1
19,0,1,1
19,0,1,1
19,0,1,1
19,0,1,1
19,0,1,1
20,0,1,1
20,0,1,1
20,0,1,1
20,0,1,1
20,0,1,1
21,0,1,1
21,0,1,1
21,0,1,1
21,0,1,1
21,0,1,1
22,0,1,1
22,0,1,1
22,0,1,1
22,0,1,1
22,0,1,1
23,0,1,1
23,0,1,1
23,0,1,1
23,0,1,1
23,0,1,1
24,0,1,1
24,0,1,1
24,0,1,1
24,0,1,1
24,0,1,1
25,0,1,1
25,0,1,1
25,0,1,1
25,0,1,1
25,0,1,1
26,0,1,1
26,0,1,1
26,0,1,1
26,0,1,1
26,0,1,1
27,0,1,1
27,0,1,1
27,0,1,1
27,0,1,1
27,0,1,1
28,0,1,1
28,0,1,1
28,0,1,1
28,0,1,1
28,0,1,1
29,0,1,1
29,0,1,1
29,0,1,1
29,0,1,1
29,0,1,1
30,0,1,1
30,0,1,1
30,0,1,1
30,0,1,1
30,0,1,1
31,0,1,1
31,0,1,1
31,0,1,1
31,0,1,1
31,0,1,1
32,0,0,1
32,0,0,1
32,0,1,1
32,0,1,1
32,0,1,1
33,0,1,1
33,0,1,1
33,0,1,1
33,0,1,1
33,0,1,1
34,0,1,1
34,0,1,1
34,0,1,1
34,0,1,1
34,0,1,1
35,0,1,1
35,0,1,1
35,0,1,1
35,0,1,1
35,0,1,1
36,0,1,1
36,0,1,1
36,0,1,1
36,0,1,1
36,0,1,1
37,0,1,1
37,0,1,1
37,0,1,1
37,0,1,1
37,0,1,1
38,0,1,1
38,0,1,1
38,0,1,1
38,0,1,1
38,0,1,1
39,0,1,1
39,0,1,1
39,0,1,1
39,0,1,1
39,0,1,1
40,0,1,1
40,0,1,1
40,0,1,1
40,0,1,1
40,0,1,1
41,0,1,1
41,0,1,1
41,0,1,1
41,0,1,1
41,0,1,1
42,0,1,1
42,0,1,1
42,0,1,1
42,0,1,1
42,0,1,1
43,0,1,1
43,0,1,1
43,0,1,1
43,0,1,1
43,0,1,1
44,0,1,1
44,0,1,1
44,0,1,1
44,0,1,1
44,0,1,1
45,0,1,1
45,0,1,1
45,0,1,1
45,0,1,1
45,0,1,1
46,0,1,1
46,0,1,1
46,0,1,1
46,0,1,1
46,0,1,1
47,0,1,1
47,0,1,1
47,0,1,1
47,0,1,1
47,0,1,1
48,0,1,1
48,0,1,1
48,0,1,1
48,0,1,1
48,0,1,1
49,0,1,1
49,0,1,1
49,0,1,1
49,0,1,1
49,0,1,1
50,0,1,1
50,0,1,1
50,0,1,1
50,0,1,1
50,0,1,1
51,0,1,1
51,0,1,1
51,0,1,1
51,0,1,1
51,0,1,1
52,0,1,1
52,0,1,1
52,0,0,1
52,0,0,1
52,0,0,1
53,0,0,1
53,0,0,1
53,0,0,1
53,0,0,1
53,0,0,1
54,0,0,1
54,0,0,1
54,0,0,1
54,0,0,1
54,0,0,1
55,0,0,1
55,0,0,1
55,0,0,1
55,0,0,1
55,0,0,1
56,0,0,1
56,0,0,1
56,0,0,1
56,0,0,1
56,0,0,1
57,0,0,1
57,0,0,1
57,0,0,1
57,0,0,1
57,0,0,1
58,0,0,1
58,0,0,1
58,0,0,1
58,0,0,1
58,0,0,1
59,0,0,1
59,0,0,1
59,0,0,1
59,0,0,1
59,0,0,1
60,0,0,1
60,0,0,1
60,0,0,1
60,0,0,1
60,0,0,1
61,0,0,1
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
1,0,0,2
2,0,0,2
2,0,0,2
2,0,0,2
2,0,0,2
2,0,0,2
3,0,0,2
3,0,0,2
3,0,0,2
3,0,0,2
3,0,0,2
4,0,0,2
4,0,0,2
4,0,0,2
4,0,0,2
4,0,0,2
5,0,0,2
5,0,0,2
5,0,0,2
5,0,0,2
5,0,0,2
6,0,0,2
6,0,0,2
6,0,0,2
6,0,0,2
6,0,1,2
7,0,1,2
7,0,1,2
7,0,1,2
7,0,1,2
7,0,1,2
8,0,1,2
8,0,1,2
8,0,0,2
8,0,0,2
8,0,0,2
9,0,0,2
9,0,0,2
9,0,0,2
9,0,0,2
9,0,0,2
10,0,0,2
10,0,0,2
10,0,0,2
10,0,0,2
10,0,0,2
11,0,0,2
11,0,0,2
11,0,0,2
11,0,0,2
11,0,0,2
12,0,0,2
12,0,0,2
12,0,0,2
12,0,0,2
12,0,0,2
13,0,0,2
13,0,1,2
13,0,1,2
13,0,1,2
13,0,1,2
14,0,1,2
14,0,1,2
14,0,1,2
14,0,1,2
14,0,1,2
15,0,1,2
15,0,1,2
15,0,1,2
15,0,1,2
15,0,1,2
16,0,1,2
16,0,1,2
16,0,1,2
16,0,1,2
16,0,1,2
17,0,1,2
17,0,1,2
17,0,1,2
17,0,1,2
17,0,1,2
18,0,1,2
18,0,1,2
18,0,1,2
18,0,1,2
18,0,1,2
19,0,1,2
19,0,1,2
19,0,1,2
19,0,1,2
19,0,1,2
20,0,1,2
20,0,1,2
20,0,1,2
20,0,1,2
20,0,1,2
21,0,1,2
21,0,1,2
21,0,1,2
21,0,1,2
21,0,1,2
22,0,1,2
22,0,1,2
22,0,1,2
22,0,1,2
22,0,1,2
23,0,1,2
23,0,1,2
23,0,1,2
23,0,1,2
23,0,1,2
24,0,1,2
24,0,1,2
24,0,1,2
24,0,1,2
24,0,1,2
25,0,1,2
25,0,1,2
25,0,1,2
25,0,1,2
25,0,1,2
26,0,1,2
26,0,1,2
26,0,1,2
26,0,1,2
26,0,1,2
27,0,1,2
27,0,1,2
27,0,1,2
27,0,1,2
27,0,1,2
28,0,1,2
28,0,1,2
28,0,1,2
28,0,1,2
28,0,1,2
29,0,1,2
29,0,1,2
29,0,1,2
29,0,1,2
29,0,1,2
30,0,1,2
30,0,1,2
30,0,1,2
30,0,1,2
30,0,1,2
31,0,1,2
31,0,1,2
31,0,1,2
31,0,1,2
31,0,1,2
32,0,0,2
32,0,0,2
32,0,1,2
32,0,1,2
32,0,1,2
33,0,1,2
33,0,1,2
33,0,1,2
33,0,1,2
33,0,1,2
34,0,1,2
34,0,1,2
34,0,1,2
34,0,1,2
34,0,1,2
35,0,1,2
35,0,1,2
35,0,1,2
35,0,1,2
35,0,1,2
36,0,1,2
36,0,1,2
36,0,1,2
36,0,1,2
36,0,1,2
37,0,1,2
37,0,1,2
37,0,1,2
37,0,1,2
37,0,1,2
38,0,1,2
38,0,1,2
38,0,1,2
38,0,1,2
38,0,1,2
39,0,1,2
39,0,1,2
39,0,1,2
39,0,1,2
39,0,1,2
40,0,1,2
40,0,1,2
40,0,1,2
40,0,1,2
40,0,1,2
41,0,1,2
41,0,1,2
41,0,1,2
41,0,1,2
41,0,1,2
42,0,1,2
42,0,1,2
42,0,1,2
42,0,1,2
42,0,1,2
43,0,1,2
43,0,1,2
43,0,1,2
43,0,1,2
43,0,1,2
44,0,1,2
44,0,1,2
44,0,1,2
44,0,1,2
44,0,1,2
45,0,1,2
45,0,1,2
45,0,1,2
45,0,1,2
45,0,1,2
46,0,1,2
46,0,1,2
46,0,1,2
46,0,1,2
46,0,1,2
47,0,1,2
47,0,1,2
47,0,1,2
47,0,1,2
47,0,1,2
48,0,1,2
48,0,1,2
48,0,1,2
48,0,1,2
48,0,1,2
49,0,1,2
49,0,1,2
49,0,1,2
49,0,1,2
49,0,1,2
50,0,1,2
50,0,1,2
50,0,1,2
50,0,1,2
50,0,1,2
51,0,1,2
51,0,1,2
51,0,1,2
51,0,1,2
51,0,1,2
52,0,1,2
52,0,1,2
52,0,0,2
52,0,0,2
52,0,0,2
53,0,0,2
53,0,0,2
53,0,0,2
53,0,0,2
53,0,0,2
54,0,0,2
54,0,0,2
54,0,0,2
54,0,0,2
54,0,0,2
55,0,0,2
55,0,0,2
55,0,0,2
55,0,0,2
55,0,0,2
56,0,0,2
56,0,0,2
56,0,0,2
56,0,0,2
56,0,0,2
57,0,0,2
57,0,0,2
57,0,0,2
57,0,0,2
57,0,0,2
58,0,0,2
58,0,0,2
58,0,0,2
58,0,0,2
58,0,0,2
59,0,0,2
59,0,0,2
59,0,0,2
59,0,0,2
59,0,0,2
60,0,0,2
60,0,0,2
60,0,0,2
60,0,0,2
60,0,0,2
61,0,0,2
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
1,0,0,3
1,0,0,3
1,0,0,3
1,0,0,3
1,0,0,3
2,0,0,3
2,0,0,3
2,0,0,3
2,0,0,3
2,0,0,3
3,0,0,3
3,0,0,3
3,0,0,3
3,0,0,3
3,0,0,3
4,0,0,3
4,0,0,3
4,0,0,3
4,0,0,3
4,0,0,3
5,0,0,3
5,0,0,3
5,0,0,3
5,0,0,3
5,0,0,3
6,0,0,3
6,0,0,3
6,0,0,3
6,0,0,3
6,0,1,3
7,0,1,3
7,0,1,3
7,0,1,3
7,0,1,3
7,0,1,3
8,0,1,3
8,0,1,3
8,0,0,3
8,0,0,3
8,0,0,3
9,0,0,3
9,0,0,3
9,0,0,3
9,0,0,3
9,0,0,3
10,0,0,3
10,0,0,3
10,0,0,3
10,0,0,3
10,0,0,3
11,0,0,3
11,0,0,3
11,0,0,3
11,0,0,3
11,0,0,3
12,0,0,3
12,0,0,3
12,0,0,3
12,0,0,3
12,0,0,3
13,0,0,3
13,0,1,3
13,0,1,3
13,0,1,3
13,0,1,3
14,0,1,3
14,0,1,3
14,0,1,3
14,0,1,3
14,0,1,3
15,0,1,3
15,0,1,3
15,0,1,3
15,0,1,3
15,0,1,3
16,0,1,3
16,0,1,3
16,0,1,3
16,0,1,3
16,0,1,3
17,0,1,3
17,0,1,3
17,0,1,3
17,0,1,3
17,0,1,3
18,0,1,3
18,0,1,3
18,0,1,3
18,0,1,3
18,0,1,3
19,0,1,3
19,0,1,3
19,0,1,3
19,0,1,3
19,0,1,3
20,0,1,3
20,0,1,3
20,0,1,3
20,0,1,3
20,0,1,3
21,0,1,3
21,0,1,3
21,0,1,3
21,0,1,3
21,0,1,3
22,0,1,3
22,0,1,3
22,0,1,3
22,0,1,3
22,0,1,3
23,0,1,3
23,0,1,3
23,0,1,3
23,0,1,3
23,0,1,3
24,0,1,3
24,0,1,3
24,0,1,3
24,0,1,3
24,0,1,3
25,0,1,3
25,0,1,3
25,0,1,3
25,0,1,3
25,0,1,3
26,0,1,3
26,0,1,3
26,0,1,3
26,0,1,3
26,0,1,3
27,0,1,3
27,0,1,3
27,0,1,3
27,0,1,3
27,0,1,3
28,0,1,3
28,0,1,3
28,0,1,3
28,0,1,3
28,0,1,3
29,0,1,3
29,0,1,3
29,0,1,3
29,0,1,3
29,0,1,3
30,0,1,3
30,0,1,3
30,0,1,3
30,0,1,3
30,0,1,3
31,0,1,3
31,0,1,3
31,0,1,3
31,0,1,3
31,0,1,3
32,0,0,3
32,0,0,3
32,0,1,3
32,0,1,3
32,0,1,3
33,0,1,3
33,0,1,3
33,0,1,3
33,0,1,3
33,0,1,3
34,0,1,3
34,0,1,3
34,0,1,3
34,0,1,3
34,0,1,3
35,0,1,3
35,0,1,3
35,0,1,3
35,0,1,3
35,0,1,3
36,0,1,3
36,0,1,3
36,0,1,3
36,0,1,3
36,0,1,3
37,0,1,3
37,0,1,3
37,0,1,3
37,0,1,3
37,0,1,3
38,0,1,3
38,0,1,3
38,0,1,3
38,0,1,3
38,0,1,3
39,0,1,3
39,0,1,3
39,0,1,3
39,0,1,3
39,0,1,3
40,0,1,3
40,0,1,3
40,0,1,3
40,0,1,3
40,0,1,3
41,0,1,3
41,0,1,3
41,0,1,3
41,0,1,3
41,0,1,3
42,0,1,3
42,0,1,3
42,0,1,3
42,0,1,3
42,0,1,3
43,0,1,3
43,0,1,3
43,0,1,3
43,0,1,3
43,0,1,3
44,0,1,3
44,0,1,3
44,0,1,3
44,0,1,3
44,0,1,3
45,0,1,3
45,0,1,3
45,0,1,3
45,0,1,3
45,0,1,3
46,0,1,3
46,0,1,3
46,0,1,3
46,0,1,3
46,0,1,3
47,0,1,3
47,0,1,3
47,0,1,3
47,0,1,3
47,0,1,3
48,0,1,3
48,0,1,3
48,0,1,3
48,0,1,3
48,0,1,3
49,0,1,3
49,0,1,3
49,0,1,3
49,0,1,3
49,0,1,3
50,0,1,3
50,0,1,3
50,0,1,3
50,0,1,3
50,0,1,3
51,0,1,3
51,0,1,3
51,0,1,3
51,0,1,3
51,0,1,3
52,0,1,3
52,0,1,3
52,0,0,3
52,0,0,3
52,0,0,3
53,0,0,3
53,0,0,3
53,0,0,3
53,0,0,3
53,0,0,3
54,0,0,3
54,0,0,3
54,0,0,3
54,0,0,3
54,0,0,3
55,0,0,3
55,0,0,3
55,0,0,3
55,0,0,3
55,0,0,3
56,0,0,3
56,0,0,3
56,0,0,3
56,0,0,3
56,0,0,3
57,0,0,3
57,0,0,3
57,0,0,3
57,0,0,3
57,0,0,3
58,0,0,3
58,0,0,3
58,0,0,3
58,0,0,3
58,0,0,3
59,0,0,3
59,0,0,3
59,0,0,3
59,0,0,3
59,0,0,3
60,0,0,3
60,0,0,3
60,0,0,3
60,0,0,3
60,0,0,3
61,0,0,3
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
0,0,0,4
1,0,0,4
1,0,0,4
1,0,0,4
1,0,0,4
1,0,0,4
2,0,0,4
2,0,0,4
2,0,0,4
2,0,0,4
2,0,0,4
3,0,0,4
3,0,0,4
3,0,0,4
3,0,0,4
3,0,0,4
4,0,0,4
4,0,0,4
4,0,0,4
4,0,0,4
4,0,0,4
5,0,0,4
5,0,0,4
5,0,0,4
5,0,0,4
5,0,0,4
6,0,0,4
6,0,0,4
6,0,0,4
6,0,0,4
6,0,1,4
7,0,1,4
7,0,1,4
7,0,1,4
7,0,1,4
7,0,1,4
8,0,1,4
8,0,1,4
8,0,0,4
8,0,0,4
8,0,0,4
9,0,0,4
9,0,0,4
9,0,0,4
9,0,0,4
9,0,0,4
10,0,0,4
10,0,0,4
10,0,0,4
10,0,0,4
10,0,0,4
11,0,0,4
11,0,0,4
11,0,0,4
11,0,0,4
11,0,0,4
12,0,0,4
12,0,0,4
12,0,0,4
12,0,0,4
12,0,0,4
13,0,0,4
13,0,1,4
13,0,1,4
13,0,1,4
13,0,1,4
14,0,1,4
14,0,1,4
14,0,1,4
14,0,1,4
14,0,1,4
15,0,1,4
15,0,1,4
15,0,1,4
15,0,1,4
15,0,1,4
16,0,1,4
16,0,1,4
16,0,1,4
16,0,1,4
16,0,1,4
17,0,1,4
17,0,1,4
17,0,1,4
17,0,1,4
17,0,1,4
18,0,1,4
18,0,1,4
18,0,1,4
18,0,1,4
18,0,1,4
19,0,1,4
19,0,1,4
19,0,1,4
19,0,1,4
19,0,1,4
20,0,1,4
20,0,1,4
20,0,1,4
20,0,1,4
20,0,1,4
21,0,1,4
21,0,1,4
21,0,1,4
21,0,1,4
21,0,1,4
22,0,1,4
22,0,1,4
22,0,1,4
22,0,1,4
22,0,1,4
23,0,1,4
23,0,1,4
23,0,1,4
23,0,1,4
23,0,1,4
24,0,1,4
24,0,1,4
24,0,1,4
24,0,1,4
24,0,1,4
25,0,1,4
25,0,1,4
25,0,1,4
25,0,1,4
25,0,1,4
26,0,1,4
26,0,1,4
26,0,1,4
26,0,1,4
26,0,1,4
27,0,1,4
27,0,1,4
27,0,1,4
27,0,1,4
27,0,1,4
28,0,1,4
28,0,1,4
28,0,1,4
28,0,1,4
28,0,1,4
29,0,1,4
29,0,1,4
29,0,1,4
29,0,1,4
29,0,1,4
30,0,1,4
30,0,1,4
30,0,1,4
30,0,1,4
30,0,1,4
31,0,1,4
31,0,1,4
31,0,1,4
31,0,1,4
31,0,1,4
32,0,0,4
32,0,0,4
32,0,1,4
32,0,1,4
32,0,1,4
33,0,1,4
33,0,1,4
33,0,1,4
33,0,1,4
33,0,1,4
34,0,1,4
34,0,1,4
34,0,1,4
34,0,1,4
34,0,1,4
35,0,1,4
35,0,1,4
35,0,1,4
35,0,1,4
35,0,1,4
36,0,1,4
36,0,1,4
36,0,1,4
36,0,1,4
36,0,1,4
37,0,1,4
37,0,1,4
37,0,1,4
37,0,1,4
37,0,1,4
38,0,1,4
38,0,1,4
38,0,1,4
38,0,1,4
38,0,1,4
39,0,1,4
39,0,1,4
39,0,1,4
39,0,1,4
39,0,1,4
40,0,1,4
40,0,1,4
40,0,1,4
40,0,1,4
40,0,1,4
41,0,1,4
41,0,1,4
41,0,1,4
41,0,1,4
41,0,1,4
42,0,1,4
42,0,1,4
42,0,1,4
42,0,1,4
42,0,1,4
43,0,1,4
43,0,1,4
43,0,1,4
43,0,1,4
43,0,1,4
44,0,1,4
44,0,1,4
44,0,1,4
44,0,1,4
44,0,1,4
45,0,1,4
45,0,1,4
45,0,1,4
45,0,1,4
45,0,1,4
46,0,1,4
46,0,1,4
46,0,1,4
46,0,1,4
46,0,1,4
47,0,1,4
47,0,1,4
47,0,1,4
47,0,1,4
47,0,1,4
48,0,1,4
48,0,1,4
48,0,1,4
48,0,1,4
48,0,1,4
49,0,1,4
49,0,1,4
49,0,1,4
49,0,1,4
49,0,1,4
50,0,1,4
50,0,1,4
50,0,1,4
50,0,1,4
50,0,1,4
51,0,1,4
51,0,1,4
51,0,1,4
51,0,1,4
51,0,1,4
52,0,1,4
52,0,1,4
52,0,0,4
52,0,0,4
52,0,0,4
53,0,0,4
53,0,0,4
53,0,0,4
53,0,0,4
53,0,0,4
54,0,0,4
54,0,0,4
54,0,0,4
54,0,0,4
54,0,0,4
55,0,0,4
55,0,0,4
55,0,0,4
55,0,0,4
55,0,0,4
56,0,0,4
56,0,0,4
56,0,0,4
56,0,0,4
56,0,0,4
57,0,0,4
57,0,0,4
57,0,0,4
57,0,0,4
57,0,0,4
58,0,0,4
58,0,0,4
58,0,0,4
58,0,0,4
58,0,0,4
59,0,0,4
59,0,0,4
59,0,0,4
59,0,0,4
59,0,0,4
60,0,0,4
60,0,0,4
60,0,0,4
60,0,0,4
60,0,0,4
61,0,0,4
0,0,0,5
0,0,0,5
0,1,0,5
0,0,0,5
0,0,0,5
1,0,0,5
1,0,0,5
1,1,0,5
1,0,0,5
1,0,0,5
2,0,0,5
2,0,0,5
2,0,0,5
2,0,0,5
2,0,0,5
3,0,0,5
3,0,0,5
3,0,0,5
3,0,0,5
3,0,0,5
4,0,0,5
4,0,0,5
4,0,0,5
4,0,0,5
4,0,0,5
5,0,0,5
5,0,0,5
5,0,0,5
5,0,0,5
5,0,0,5
6,0,0,5
6,0,0,5
6,0,0,5
6,0,0,5
6,0,1,5
7,0,1,5
7,0,1,5
7,0,1,5
7,0,1,5
7,0,1,5
8,0,1,5
8,0,1,5
8,0,0,5
8,0,0,5
8,0,0,5
9,0,0,5
9,0,0,5
9,0,0,5
9,0,0,5
9,1,0,5
10,0,0,5
10,0,0,5
10,0,0,5
10,1,0,5
10,0,0,5
11,0,0,5
11,0,0,5
11,0,0,5
11,0,0,5
11,0,0,5
12,0,0,5
12,0,0,5
12,0,0,5
12,0,0,5
12,0,0,5
13,0,0,5
13,0,1,5
13,0,1,5
13,0,1,5
13,0,1,5
14,0,1,5
14,0,1,5
14,0,1,5
14,0,1,5
14,0,1,5
15,0,1,5
15,0,1,5
15,0,1,5
15,0,1,5
15,0,1,5
16,0,1,5
16,0,1,5
16,0,1,5
16,0,1,5
16,1,1,5
17,0,1,5
17,0,1,5
17,0,1,5
17,0,1,5
17,0,1,5
18,0,1,5
18,0,1,5
18,0,1,5
18,0,1,5
18,0,1,5
19,0,1,5
19,0,1,5
19,0,1,5
19,0,1,5
19,0,1,5
20,0,1,5
20,0,1,5
20,0,1,5
20,0,1,5
20,0,1,5
21,0,1,5
21,0,1,5
21,0,1,5
21,0,1,5
21,0,1,5
22,1,1,5
22,0,1,5
22,0,1,5
22,0,1,5
22,0,1,5
23,0,1,5
23,1,1,5
23,0,1,5
23,0,1,5
23,0,1,5
24,0,1,5
24,0,1,5
24,0,1,5
24,0,1,5
24,0,1,5
25,0,1,5
25,0,1,5
25,0,1,5
25,0,1,5
25,1,1,5
26,1,1,5
26,0,1,5
26,0,1,5
26,0,1,5
26,0,1,5
27,0,1,5
27,1,1,5
27,0,1,5
27,0,1,5
27,0,1,5
28,1,1,5
28,0,1,5
28,0,1,5
28,0,1,5
28,0,1,5
29,0,1,5
29,0,1,5
29,0,1,5
29,0,1,5
29,1,1,5
30,0,1,5
30,0,1,5
30,1,1,5
30,0,1,5
30,0,1,5
31,0,1,5
31,0,1,5
31,1,1,5
31,0,1,5
31,0,1,5
32,0,0,5
32,1,0,5
32,0,1,5
32,0,1,5
32,1,1,5
33,0,1,5
33,0,1,5
33,0,1,5
33,0,1,5
33,0,1,5
34,0,1,5
34,0,1,5
34,0,1,5
34,0,1,5
34,0,1,5
35,0,1,5
35,0,1,5
35,1,1,5
35,1,1,5
35,0,1,5
36,0,1,5
36,0,1,5
36,0,1,5
36,1,1,5
36,1,1,5
37,0,1,5
37,0,1,5
37,0,1,5
37,0,1,5
37,0,1,5
38,0,1,5
38,0,1,5
38,0,1,5
38,0,1,5
38,0,1,5
39,0,1,5
39,0,1,5
39,0,1,5
39,0,1,5
39,0,1,5
40,0,1,5
40,0,1,5
40,0,1,5
40,1,1,5
40,0,1,5
41,0,1,5
41,0,1,5
41,0,1,5
41,0,1,5
41,0,1,5
42,0,1,5
42,0,1,5
42,0,1,5
42,0,1,5
42,0,1,5
43,0,1,5
43,0,1,5
